archivo,frame,angulo_rodilla_izquierda_kinovea,angulo_rodilla_izquierda_mediapipe,diferencia_rodilla_izquierda
92,4,156.991,153.743,3.248
92,5,156.255,153.303,2.952
93,3,166.346,156.188,10.158
93,4,164.777,159.014,5.763
93,5,166.209,160.799,5.41
93,6,165.977,162.227,3.75
93,7,164.932,161.606,3.326
93,8,164.449,161.533,2.916
94,2,159.646,161.103,-1.457
94,3,158.115,158.314,-0.199
94,4,160.108,157.327,2.781
94,5,161.653,157.668,3.985
94,6,162.449,159.423,3.026
94,7,163.238,160.66,2.578
95,0,166.363,159.716,6.647
95,1,163.095,153.615,9.48
95,2,161.286,156.612,4.674
95,3,160.985,157.947,3.038
95,4,161.879,159.515,2.364
95,5,161.665,160.865,0.8
95,6,165.238,165.396,-0.158
95,7,164.556,163.971,0.585
95,8,165.787,164.292,1.495
95,9,168.269,164.277,3.992
95,10,169.196,167.659,1.537
96,2,165.723,167.049,-1.326
96,3,165.951,161.755,4.196
96,4,165.715,161.453,4.262
96,5,163.89,158.728,5.162
96,6,162.934,161.019,1.915
96,7,162.934,160.602,2.332
96,8,165.366,161.148,4.218
96,9,165.849,162.482,3.367
97,0,166.343,156.44,9.903
97,1,162.094,158.574,3.52
97,2,162.935,160.461,2.474
97,3,163.636,161.136,2.5
97,4,163.451,162.038,1.413
97,5,165.806,161.07,4.736
97,6,165.318,161.842,3.476
97,7,165.84,163.134,2.706
97,8,166.234,164.196,2.038
97,9,164.97,164.424,0.546
97,10,166.821,166.966,-0.145
98,3,163.424,156.838,6.586
98,4,163.382,159.469,3.913
98,5,164.792,160.496,4.296
98,6,164.157,160.578,3.579
98,7,165.843,161.175,4.668
98,8,166.877,161.42,5.457
98,9,169.496,163.218,6.278
99,1,167.084,163.849,3.235
99,2,165.825,162.473,3.352
99,3,166.112,160.671,5.441
99,4,166.576,158.993,7.583
99,5,165.02,158.845,6.175
99,6,163.734,156.872,6.862
99,7,163.651,157.339,6.312
99,8,166.972,159.106,7.866
