archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
20,4,116.727,125.705,72.243,52.515,-8.978,19.728
20,5,146.887,152.242,82.773,63.711,-5.355,19.062
20,6,162.865,168.767,87.733,108.03,-5.902,-20.297
21,0,59.889,63.838,85.035,76.096,-3.949,8.939
21,1,58.711,59.744,69.191,63.248,-1.033,5.943
21,2,67.319,74.44,48.859,50.116,-7.121,-1.257
21,3,93.749,105.205,62.887,48.93,-11.456,13.957
21,4,127.68,136.429,71.456,62.686,-8.749,8.77
21,5,155.336,160.978,106.266,69.451,-5.642,36.815
21,6,171.449,173.094,113.67,97.976,-1.645,15.694
22,0,68.14,73.724,101.825,80.122,-5.584,21.703
22,1,64.342,69.051,88.108,73.049,-4.709,15.059
22,2,71.601,73.247,76.242,58.695,-1.646,17.547
22,3,93.203,97.755,68.878,60.39,-4.552,8.488
22,4,124.391,137.559,76.622,59.073,-13.168,17.549
22,5,154.976,159.107,93.185,63.856,-4.131,29.329
22,6,165.527,174.423,97.038,96.412,-8.896,0.626
23,0,66.386,69.432,93.449,85.033,-3.046,8.416
23,1,63.189,66.879,74.232,63.856,-3.69,10.376
23,2,73.544,76.317,67.803,55.343,-2.773,12.46
23,3,100.985,111.695,71.587,36.863,-10.71,34.724
23,4,139.849,147.453,82.048,65.312,-7.604,16.736
23,5,159.947,162.842,106.671,82.489,-2.895,24.182
23,6,173.224,174.961,100.592,74.937,-1.737,25.655
24,0,75.789,76.576,76.871,80.702,-0.787,-3.831
24,1,74.342,68.933,78.044,72.448,5.409,5.596
24,2,82.904,79.63,66.108,60.796,3.274,5.312
24,3,106.37,104.989,56.934,62.281,1.381,-5.347
24,4,139.809,136.219,65.464,72.61,3.59,-7.146
24,5,155.821,156.059,80.791,74.855,-0.238,5.936
24,6,173.057,169.698,74.595,63.346,3.359,11.249
24,7,176.063,178.848,68.702,38.949,-2.785,29.753
25,0,76.014,78.62,80.114,87.452,-2.606,-7.338
25,1,75.193,72.989,85.239,71.7,2.204,13.539
25,2,78.837,77.962,82.979,67.999,0.875,14.98
25,3,99.375,93.189,58.169,59.295,6.186,-1.126
25,4,124.735,123.977,71.144,59.197,0.758,11.947
25,5,146.389,143.854,77.707,72.374,2.535,5.333
25,6,163.082,163.619,85.542,74.466,-0.537,11.076
25,7,176.919,172.813,73.142,103.636,4.106,-30.494
25,8,175.512,172.183,62.197,52.012,3.329,10.185
25,9,173.671,168.178,62.631,54.249,5.493,8.382
26,0,76.505,83.133,84.077,91.783,-6.628,-7.706
26,1,68.847,69.98,81.444,76.682,-1.133,4.762
26,2,68.823,66.613,78.517,74.716,2.21,3.801
26,3,78.824,74.963,76.452,58.178,3.861,18.274
26,4,108.475,103.477,56.796,57.402,4.998,-0.606
26,5,136.833,134.399,74.644,77.05,2.434,-2.406
26,6,150.159,152.683,79.753,86.219,-2.524,-6.466
26,7,172.214,170.171,64.977,69.453,2.043,-4.476
27,0,84.929,91.861,72.897,105.168,-6.932,-32.271
27,1,83.304,83.115,99.515,92.635,0.189,6.88
27,2,83.774,80.161,85.358,78.258,3.613,7.1
27,3,95.87,90.1,74.068,65.192,5.77,8.876
27,4,122.072,115.573,61.077,54.2,6.499,6.877
27,5,148.546,137.825,79.672,72.628,10.721,7.044
27,6,167.559,158.408,74.468,74.261,9.151,0.207
27,7,171.977,176.485,77.062,78.522,-4.508,-1.46
27,8,167.17,176.483,60.117,47.334,-9.313,12.783
27,9,173.513,174.109,61.408,48.526,-0.596,12.882
27,10,177.403,177.214,62.233,57.03,0.189,5.203
28,0,81.914,82.96,87.709,94.119,-1.046,-6.41
28,1,80.48,78.932,83.042,76.737,1.548,6.305
28,2,90.667,86.796,79.128,67.797,3.871,11.331
28,3,117.74,115.963,62.566,58.931,1.777,3.635
28,4,145.181,144.249,74.45,79.167,0.932,-4.717
28,5,159.674,162.772,76.939,92.139,-3.098,-15.2
28,6,177.402,175.302,77.543,123.786,2.1,-46.243
28,7,173.97,168.612,69.634,51.735,5.358,17.899
28,8,170.378,165.373,55.929,60.027,5.005,-4.098
29,0,83.895,89.648,87.67,98.718,-5.753,-11.048
29,1,76.91,75.806,90.964,86.25,1.104,4.714
29,2,77.122,73.386,83.842,86.749,3.736,-2.907
29,3,86.089,81.96,74.282,65.095,4.129,9.187
29,4,115.398,108.484,60.901,54.046,6.914,6.855
29,5,144.001,136.476,73.909,75.748,7.525,-1.839
29,6,156.053,154.216,79.228,67.183,1.837,12.045
29,7,172.936,168.925,74.037,76.295,4.011,-2.258
