archivo,marcador,frame,X (px),Y (px)
1,rodilla_izquierda,16,949.76068,729.45886
1,tobillo_izquierdo,16,981.27148,769.67159
1,talon_izquierdo,17,978.57319,776.39284
1,cadera_izquierda,17,910.48983,687.08945
1,cadera_derecha,17,931.60395,684.64327
1,hombro_izquierdo,17,923.43967,612.31703
1,hombro_derecho,17,949.42331,613.51688
1,rodilla_izquierda,17,947.49475,728.00255
1,tobillo_izquierdo,17,974.38271,769.359
1,talon_izquierdo,18,980.24368,778.8228
1,cadera_izquierda,18,909.41425,685.90453
1,cadera_derecha,18,931.26469,683.49872
1,hombro_izquierdo,18,920.52372,612.24699
1,hombro_derecho,18,950.86447,613.25179
1,rodilla_izquierda,18,942.2331,728.85878
1,tobillo_izquierdo,18,975.22442,771.10666
1,talon_izquierdo,19,979.40884,781.26137
1,cadera_izquierda,19,907.23879,682.24814
1,cadera_derecha,19,930.12886,680.22587
1,hombro_izquierdo,19,919.06494,612.08439
1,hombro_derecho,19,952.01569,612.31491
1,rodilla_izquierda,19,939.63198,728.14366
1,tobillo_izquierdo,19,971.21395,772.34932
1,talon_izquierdo,20,976.16993,782.90855
1,cadera_izquierda,20,906.9504,680.68916
1,cadera_derecha,20,927.48213,678.17121
1,hombro_izquierdo,20,919.70203,610.28484
1,hombro_derecho,20,951.57921,611.08236
1,rodilla_izquierda,20,938.84937,728.75945
1,tobillo_izquierdo,20,967.11411,772.48186
1,talon_izquierdo,21,968.98968,781.57075
1,cadera_izquierda,21,905.96827,677.55664
1,cadera_derecha,21,924.61521,675.24661
1,hombro_izquierdo,21,920.73509,607.57416
1,hombro_derecho,21,951.08654,609.28275
1,rodilla_izquierda,21,932.77777,725.28479
1,tobillo_izquierdo,21,961.4358649999999,769.616585
1,talon_izquierdo,22,967.0548249999999,781.09185
1,cadera_izquierda,22,903.76717,676.53118
1,cadera_derecha,22,923.93269,675.88552
1,hombro_izquierdo,22,918.70697,606.1116
1,hombro_derecho,22,950.9955,609.45694
1,rodilla_izquierda,22,931.04227,725.96199
1,tobillo_izquierdo,22,960.7910625,769.9606425
1,talon_izquierdo,23,965.11997,780.61295
1,cadera_izquierda,23,901.9721,673.84315
1,cadera_derecha,23,922.30173,674.27329
1,hombro_izquierdo,23,915.57718,605.25956
1,hombro_derecho,23,950.76445,608.77529
1,rodilla_izquierda,23,928.45711,725.4996
1,tobillo_izquierdo,23,960.14626,770.3047
1,talon_izquierdo,24,960.20863,780.24988
1,cadera_izquierda,24,899.87577,671.77626
1,cadera_derecha,24,920.81818,672.04579
1,hombro_izquierdo,24,913.63438,604.61358
1,hombro_derecho,24,949.31236,608.10897
1,rodilla_izquierda,24,924.08043,726.00171
1,tobillo_izquierdo,24,956.2088,770.50664
1,talon_izquierdo,25,958.20471,776.75694
1,cadera_izquierda,25,900.23735,672.431
1,cadera_derecha,25,920.94698,672.21246
1,hombro_izquierdo,25,914.50006,602.22579
1,hombro_derecho,25,947.70041,606.87552
1,rodilla_izquierda,25,917.61984,724.41665
1,tobillo_izquierdo,25,951.04374,769.91267
1,talon_izquierdo,26,951.86245,773.55386
1,cadera_izquierda,26,899.60529,672.52962
1,cadera_derecha,26,921.51203,672.69493
1,hombro_izquierdo,26,914.21293,600.87801
1,hombro_derecho,26,947.62081,607.10095
1,rodilla_izquierda,26,912.18933,724.65902
1,tobillo_izquierdo,26,946.39029,769.29121
2,talon_izquierdo,0,990.84011,787.00165
2,cadera_izquierda,0,924.07127,677.87026
2,cadera_derecha,0,947.12923,675.25093
2,hombro_izquierdo,0,897.95231,603.76997
2,hombro_derecho,0,953.88388,594.63505
2,rodilla_izquierda,0,945.96903,719.94987
2,tobillo_izquierdo,0,983.28403,776.27845
2,talon_izquierdo,1,995.5933,787.24395
2,cadera_izquierda,1,924.98388,685.69976
2,cadera_derecha,1,951.79029,681.02029
2,hombro_izquierdo,1,900.36089,605.87259
2,hombro_derecho,1,958.83471,598.6901
2,rodilla_izquierda,1,947.25849,720.07572
2,tobillo_izquierdo,1,988.95973,777.30694
2,talon_izquierdo,2,1002.7985,788.44225
2,cadera_izquierda,2,932.0276349999999,691.68558
2,cadera_derecha,2,956.14237,689.0048
2,hombro_izquierdo,2,902.80249,610.2345
2,hombro_derecho,2,960.93407,604.07754
2,rodilla_izquierda,2,956.21944,724.15504
2,tobillo_izquierdo,2,997.34024,780.30106
2,talon_izquierdo,3,1010.11173,788.74937
2,cadera_izquierda,3,939.07139,697.6714
2,cadera_derecha,3,962.07642,692.53521
2,hombro_izquierdo,3,906.58167,612.76095
2,hombro_derecho,3,965.05268,609.69222
2,rodilla_izquierda,3,963.79429,731.23067
2,tobillo_izquierdo,3,1001.85436,780.25091
2,talon_izquierdo,4,1006.1929299999999,775.12511
2,cadera_izquierda,4,941.67206,696.55389
2,cadera_derecha,4,964.27322,690.0031
2,hombro_izquierdo,4,911.54835,615.12962
2,hombro_derecho,4,966.87824,612.83273
2,rodilla_izquierda,4,966.43318,729.46723
2,tobillo_izquierdo,4,999.265535,769.141125
2,talon_izquierdo,5,1009.2594899999999,774.4660125
2,cadera_izquierda,5,945.23146,696.36444
2,cadera_derecha,5,962.45956,690.16937
2,hombro_izquierdo,5,917.35909,617.02888
2,hombro_derecho,5,968.26824,615.73666
2,rodilla_izquierda,5,979.35024,736.68963
2,tobillo_izquierdo,5,1002.5045574999999,768.8739774999999
2,talon_izquierdo,6,1015.81873,780.28949625
2,cadera_izquierda,6,946.29055,701.92266
