archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
17,6,149.379,141.226,60.205,57.817,8.153,2.388
17,7,151.597,143.509,60.205,58.582,8.088,1.623
17,8,159.393,143.509,60.205,59.322,15.884,0.883
18,0,144.518,147.387,71.828,57.166,-2.869,14.662
18,1,138.813,144.094,63.396,56.277,-5.281,7.119
18,2,136.58,137.397,70.489,56.202,-0.817,14.287
18,3,135.772,133.877,70.489,53.822,1.895,16.667
18,4,138.706,134.427,70.489,53.782,4.279,16.707
18,5,142.256,135.111,70.489,48.822,7.145,21.667
18,6,142.924,138.693,70.489,50.188,4.231,20.301
18,7,145.667,138.908,70.489,50.94,6.759,19.549
18,8,152.237,140.615,70.489,53.905,11.622,16.584
19,0,132.052,131.37,64.493,54.991,0.682,9.502
19,1,123.911,127.248,61.784,54.631,-3.337,7.153
19,2,124.961,125.08,55.578,53.797,-0.119,1.781
19,3,126.736,125.32,53.737,53.108,1.416,0.629
19,4,131.058,127.0,55.368,52.276,4.058,3.092
19,5,132.466,128.597,53.737,49.273,3.869,4.464
19,6,133.229,130.822,53.737,48.247,2.407,5.49
19,7,133.335,129.285,53.737,48.135,4.05,5.602
19,8,135.761,129.988,53.737,48.539,5.773,5.198
19,9,135.257,130.818,53.737,48.755,4.439,4.982
19,10,136.816,131.566,53.737,50.508,5.25,3.229
20,0,143.391,144.307,52.481,53.626,-0.916,-1.145
20,1,136.313,141.229,50.92,53.576,-4.916,-2.656
20,2,136.506,137.31,45.369,52.122,-0.804,-6.753
20,3,137.656,137.416,47.167,52.094,0.24,-4.927
20,4,139.387,135.99,51.211,51.364,3.397,-0.153
20,5,140.354,136.869,51.211,50.732,3.485,0.479
20,6,140.991,138.74,51.211,49.884,2.251,1.327
20,7,141.298,140.283,51.211,51.153,1.015,0.058
20,8,146.357,137.346,51.211,52.11,9.011,-0.899
21,0,142.926,138.776,54.825,60.269,4.15,-5.444
21,1,136.235,135.222,51.28,60.788,1.013,-9.508
21,2,135.629,131.571,49.874,60.265,4.058,-10.391
21,3,137.336,126.922,51.264,58.013,10.414,-6.749
21,4,137.201,131.101,58.256,56.304,6.1,1.952
21,5,140.388,135.472,61.627,54.136,4.916,7.491
21,6,139.519,139.475,54.446,53.318,0.044,1.128
21,7,139.485,139.829,54.031,52.546,-0.344,1.485
21,8,138.993,135.346,43.278,52.304,3.647,-9.026
22,0,152.455,151.661,68.198,61.378,0.794,6.82
22,1,144.303,146.423,58.432,59.037,-2.12,-0.605
22,2,139.286,136.723,55.869,58.309,2.563,-2.44
22,3,137.195,131.817,47.433,58.541,5.378,-11.108
22,4,136.604,128.068,47.433,58.456,8.536,-11.023
22,5,139.571,128.607,45.815,55.922,10.964,-10.107
22,6,139.314,126.594,45.815,53.701,12.72,-7.886
22,7,137.805,131.356,45.815,53.532,6.449,-7.717
22,8,135.377,129.727,45.815,52.158,5.65,-6.343
22,9,136.926,126.29,44.299,52.09,10.636,-7.791
22,10,134.382,126.636,44.299,52.162,7.746,-7.863
23,0,139.409,141.174,55.71,62.602,-1.765,-6.892
23,1,134.894,137.669,51.936,60.077,-2.775,-8.141
23,2,132.73,131.935,48.122,56.754,0.795,-8.632
23,3,133.827,128.862,46.486,55.321,4.965,-8.835
23,4,138.08,128.1,46.486,48.21,9.98,-1.724
23,5,139.348,125.594,44.942,48.958,13.754,-4.016
23,6,139.105,130.184,44.942,50.092,8.921,-5.15
23,7,141.109,132.427,44.942,52.374,8.682,-7.432
23,8,141.307,130.321,44.942,52.264,10.986,-7.322
23,9,144.728,131.359,40.426,53.787,13.369,-13.361
24,0,109.415,118.983,49.968,51.766,-9.568,-1.798
24,1,102.496,112.07,50.908,50.873,-9.574,0.035
24,2,99.207,106.118,52.044,49.392,-6.911,2.652
24,3,95.79,102.573,50.205,47.791,-6.783,2.414
24,4,94.629,98.736,50.205,47.947,-4.107,2.258
24,5,97.255,96.329,48.821,44.501,0.926,4.32
24,6,99.31,101.388,44.936,42.46,-2.078,2.476
24,7,102.835,100.038,42.34,42.464,2.797,-0.124
24,8,102.495,101.644,43.762,41.634,0.851,2.128
24,9,104.203,104.11,38.638,42.738,0.093,-4.1
24,10,101.237,100.746,44.597,41.72,0.491,2.877
24,11,99.985,98.94,41.952,40.678,1.045,1.274
25,0,102.029,112.377,50.651,50.319,-10.348,0.332
25,1,99.262,103.828,48.538,49.769,-4.566,-1.231
25,2,95.136,101.305,50.624,48.488,-6.169,2.136
25,3,93.968,99.833,53.69,47.888,-5.865,5.802
25,4,94.608,102.365,53.531,52.185,-7.757,1.346
25,5,96.432,105.389,51.795,50.98,-8.957,0.815
25,6,99.545,107.028,53.673,48.877,-7.483,4.796
25,7,101.464,107.312,53.673,47.884,-5.848,5.789
25,8,104.29,105.434,51.937,46.155,-1.144,5.782
25,9,107.105,111.91,56.535,45.122,-4.805,11.413
25,10,106.567,107.578,58.046,44.097,-1.011,13.949
25,11,104.287,101.369,55.789,42.917,2.918,12.872
26,0,109.16,121.348,61.366,55.928,-12.188,5.438
26,1,103.652,111.608,57.436,52.767,-7.956,4.669
26,2,100.533,105.764,59.525,49.704,-5.231,9.821
26,3,98.712,101.462,57.82,50.35,-2.75,7.47
26,4,98.423,98.973,54.471,48.969,-0.55,5.502
26,5,98.397,97.322,51.894,50.115,1.075,1.779
26,6,98.203,100.035,52.867,47.283,-1.832,5.584
26,7,96.62,103.028,54.656,44.833,-6.408,9.823
26,8,96.348,103.733,54.921,43.631,-7.385,11.29
26,9,93.923,98.935,59.423,45.342,-5.012,14.081
26,10,93.622,95.238,60.233,45.947,-1.616,14.286
26,11,91.115,90.184,62.937,40.571,0.931,22.366
27,0,120.009,129.778,50.376,51.579,-9.769,-1.203
27,1,108.59,120.953,50.933,50.99,-12.363,-0.057
27,2,104.047,112.485,52.261,50.9,-8.438,1.361
27,3,100.047,105.657,50.964,49.03,-5.61,1.934
27,4,98.098,101.732,48.409,45.273,-3.634,3.136
27,5,98.699,101.377,54.314,44.736,-2.678,9.578
27,6,101.687,95.85,50.923,47.566,5.837,3.357
27,7,100.904,100.577,49.047,47.986,0.327,1.061
27,8,101.839,103.763,49.362,46.359,-1.924,3.003
27,9,99.23,107.267,47.515,45.757,-8.037,1.758
27,10,97.154,103.447,45.105,43.379,-6.293,1.726
27,11,96.865,98.154,44.433,41.608,-1.289,2.825
28,0,112.761,124.034,58.035,53.179,-11.273,4.856
28,1,109.27,119.041,55.175,52.525,-9.771,2.65
28,2,108.229,111.242,55.968,51.902,-3.013,4.066
28,3,110.844,107.334,55.968,48.72,3.51,7.248
28,4,114.255,111.094,54.017,45.996,3.161,8.021
28,5,116.69,112.717,54.017,48.272,3.973,5.745
28,6,118.536,118.069,53.765,45.084,0.467,8.681
28,7,119.149,119.546,54.446,45.138,-0.397,9.308
28,8,122.439,122.059,52.472,44.762,0.38,7.71
28,9,124.544,123.152,54.57,44.955,1.392,9.615
28,10,126.616,123.668,54.57,44.514,2.948,10.056
29,0,100.721,119.189,63.488,50.841,-18.468,12.647
29,1,96.553,110.406,61.402,54.576,-13.853,6.826
29,2,93.37,102.401,57.343,51.987,-9.031,5.356
29,3,90.753,97.719,57.51,47.74,-6.966,9.77
29,4,89.623,93.826,57.51,46.76,-4.203,10.75
29,5,88.484,92.174,55.389,45.14,-3.69,10.249
29,6,88.05,90.988,55.389,45.484,-2.938,9.905
29,7,88.979,90.636,53.414,46.401,-1.657,7.013
29,8,85.92,92.961,56.703,44.706,-7.041,11.997
29,9,81.57,91.544,57.167,43.117,-9.974,14.05
29,10,78.588,89.333,53.035,39.338,-10.745,13.697
29,11,75.4,86.864,52.655,35.68,-11.464,16.975
29,12,70.777,81.146,51.138,29.202,-10.369,21.936
30,0,97.945,110.589,63.358,53.636,-12.644,9.722
30,1,100.647,108.027,65.541,51.019,-7.38,14.522
30,2,100.248,111.43,62.738,46.641,-11.182,16.097
30,3,103.663,117.02,65.692,44.102,-13.357,21.59
30,4,107.748,117.442,65.692,49.515,-9.694,16.177
30,5,111.268,119.271,65.692,48.184,-8.003,17.508
30,6,115.788,125.026,65.692,49.405,-9.238,16.287
30,7,118.869,125.012,62.889,49.685,-6.143,13.204
30,8,122.09,121.214,65.848,48.786,0.876,17.062
30,9,122.883,121.924,67.273,48.898,0.959,18.375
31,0,110.837,121.881,63.223,41.476,-11.044,21.747
31,1,100.369,114.978,59.973,43.824,-14.609,16.149
31,2,92.102,108.295,61.73,46.096,-16.193,15.634
31,3,83.499,98.311,59.176,48.507,-14.812,10.669
31,4,80.15,90.932,61.555,45.716,-10.782,15.839
31,5,76.391,91.489,63.248,42.021,-15.098,21.227
31,6,74.915,89.673,61.927,40.607,-14.758,21.32
31,7,74.533,90.466,53.365,46.909,-15.933,6.456
31,8,74.246,93.645,53.463,49.009,-19.399,4.454
31,9,74.969,91.232,51.415,44.532,-16.263,6.883
31,10,74.137,86.122,48.724,40.326,-11.985,8.398
31,11,71.367,77.655,48.332,36.983,-6.288,11.349
