archivo,marcador,frame,X (px),Y (px)
98,tobillo_izquierdo,4,-135.213439941406,-325.595581054688
98,tobillo_izquierdo,5,-136.106750488281,-324.404418945313
98,tobillo_izquierdo,6,-137.106750488281,-324.106750488281
98,tobillo_izquierdo,7,-137.702209472656,-324.106689453125
98,tobillo_izquierdo,8,-138.0,-322.915710449219
98,tobillo_izquierdo,9,-138.595520019531,-322.320190429688
97,tobillo_derecho,0,-135.912170410156,-287.259033203125
97,tobillo_derecho,1,-124.746948242188,-293.7294921875
97,tobillo_derecho,2,-107.129089355469,-305.094299316406
97,tobillo_derecho,3,-90.541015625,-314.626586914063
97,tobillo_derecho,4,-79.8499145507813,-312.626525878906
97,tobillo_derecho,5,-80.4205932617188,-303.16748046875
97,tobillo_derecho,6,-83.9441528320313,-283.232055664063
97,tobillo_derecho,7,-92.5794067382813,-261.373474121094
97,tobillo_derecho,8,-103.785400390625,-239.167541503906
97,tobillo_derecho,9,-117.0,-224.0
97,tobillo_derecho,10,-127.356079101563,-213.429260253906
97,rodilla_derecha,0,-104.367553710938,-275.061767578125
97,rodilla_derecha,1,-100.476440429688,-269.952880859375
97,rodilla_derecha,2,-100.317626953125,-261.120361328125
97,rodilla_derecha,3,-101.0,-256.0
97,rodilla_derecha,4,-104.0,-251.0
97,rodilla_derecha,5,-107.0,-247.0
97,rodilla_derecha,6,-109.420593261719,-244.158813476563
97,rodilla_derecha,7,-114.888305664063,-238.111694335938
97,rodilla_derecha,8,-121.047180175781,-229.794067382813
97,rodilla_derecha,9,-129.102966308594,-218.738159179688
97,rodilla_derecha,10,-134.270446777344,-208.420593261719
97,cadera_derecha,0,-146.847595214844,-211.972534179688
97,cadera_derecha,1,-144.055847167969,-217.7294921875
97,cadera_derecha,2,-142.429321289063,-219.356018066406
97,cadera_derecha,3,-142.905700683594,-217.038452148438
97,cadera_derecha,4,-144.643920898438,-214.038452148438
97,cadera_derecha,5,-146.120361328125,-212.56201171875
97,cadera_derecha,6,-147.43798828125,-212.188598632813
97,cadera_derecha,7,-148.596801757813,-212.394470214844
97,cadera_derecha,8,-151.493835449219,-209.497497558594
97,cadera_derecha,9,-152.811462402344,-207.021057128906
97,cadera_derecha,10,-155.652648925781,-201.132690429688
97,cadera_izquierda,0,-188.579406738281,-221.205932617188
97,cadera_izquierda,1,-186.738220214844,-222.047180175781
97,cadera_izquierda,2,-185.121765136719,-223.32861328125
97,cadera_izquierda,3,-185.63525390625,-223.308898925781
97,cadera_izquierda,4,-186.476440429688,-223.7294921875
97,cadera_izquierda,5,-186.476440429688,-221.626586914063
97,cadera_izquierda,6,-189.158813476563,-220.36474609375
97,cadera_izquierda,7,-190.579406738281,-218.261840820313
97,cadera_izquierda,8,-194.682373046875,-214.476440429688
97,cadera_izquierda,9,-197.36474609375,-215.317626953125
97,cadera_izquierda,10,-197.682373046875,-214.897033691406
97,tobillo_izquierdo,0,-119.205932617188,-312.523559570313
97,tobillo_izquierdo,1,-118.785400390625,-314.205993652344
97,tobillo_izquierdo,2,-117.746887207031,-312.673706054688
97,tobillo_izquierdo,3,-118.73828125,-313.102966308594
97,tobillo_izquierdo,4,-119.158813476563,-312.261840820313
97,tobillo_izquierdo,5,-119.158813476563,-311.420654296875
97,tobillo_izquierdo,6,-119.738220214844,-311.420532226563
97,tobillo_izquierdo,7,-120.158813476563,-310.579467773438
97,tobillo_izquierdo,8,-120.579406738281,-310.158813476563
97,tobillo_izquierdo,9,-120.420593261719,-310.420532226563
97,tobillo_izquierdo,10,-121.470520019531,-308.318481445313
97,rodilla_izquierda,0,-147.968017578125,-263.314697265625
97,rodilla_izquierda,1,-147.102966308594,-260.635192871094
97,rodilla_izquierda,2,-147.0,-260.0
97,rodilla_izquierda,3,-148.158813476563,-260.205932617188
97,rodilla_izquierda,4,-148.0,-261.0
97,rodilla_izquierda,5,-149.0,-260.0
97,rodilla_izquierda,6,-150.579406738281,-258.841186523438
97,rodilla_izquierda,7,-152.0,-257.0
97,rodilla_izquierda,8,-152.476440429688,-257.047119140625
97,rodilla_izquierda,9,-154.2705078125,-255.776672363281
97,rodilla_izquierda,10,-156.0,-255.0
96,tobillo_derecho,0,-151.799377441406,-297.68505859375
96,tobillo_derecho,1,-133.768188476563,-308.981567382813
96,tobillo_derecho,2,-112.505187988281,-322.373657226563
96,tobillo_derecho,3,-94.5120849609375,-332.494750976563
96,tobillo_derecho,4,-81.5167236328125,-326.4970703125
96,tobillo_derecho,5,-82.6216430664063,-314.13037109375
96,tobillo_derecho,6,-89.26416015625,-293.134948730469
96,tobillo_derecho,7,-101.259521484375,-270.643676757813
96,tobillo_derecho,8,-113.629821777344,-250.026550292969
96,tobillo_derecho,9,-128.249145507813,-235.156921386719
96,rodilla_derecha,0,-118.812072753906,-284.93994140625
96,rodilla_derecha,1,-112.002319335938,-279.876647949219
96,rodilla_derecha,2,-109.877746582031,-272.379455566406
96,rodilla_derecha,3,-108.502868652344,-269.380615234375
96,rodilla_derecha,4,-110.379455566406,-265.252563476563
96,rodilla_derecha,5,-112.628601074219,-261.504028320313
96,rodilla_derecha,6,-119.377197265625,-255.628601074219
96,rodilla_derecha,7,-122.128051757813,-247.627380371094
96,rodilla_derecha,8,-132.001220703125,-236.378295898438
96,rodilla_derecha,9,-141.628601074219,-222.62744140625
96,cadera_derecha,0,-166.418762207031,-219.340209960938
96,cadera_derecha,1,-164.003479003906,-224.122253417969
96,cadera_derecha,2,-163.256103515625,-225.370239257813
96,cadera_derecha,3,-162.758972167969,-227.117614746094
96,cadera_derecha,4,-163.504089355469,-224.371459960938
96,cadera_derecha,5,-165.131469726563,-220.245666503906
96,cadera_derecha,6,-164.634399414063,-219.369079589844
96,cadera_derecha,7,-168.136169433594,-216.742797851563
96,cadera_derecha,8,-172.137329101563,-214.116455078125
96,cadera_derecha,9,-174.388732910156,-211.115356445313
96,tobillo_izquierdo,0,-128.281494140625,-328.461303710938
96,tobillo_izquierdo,1,-129.530639648438,-328.836181640625
96,tobillo_izquierdo,2,-128.884643554688,-327.73583984375
96,tobillo_izquierdo,3,-129.005798339844,-327.242248535156
96,tobillo_izquierdo,4,-129.070434570313,-327.676940917969
96,tobillo_izquierdo,5,-130.0,-327.0
96,tobillo_izquierdo,6,-130.749694824219,-326.250244140625
96,tobillo_izquierdo,7,-130.749755859375,-325.125732421875
96,tobillo_izquierdo,8,-130.749694824219,-324.001159667969
96,tobillo_izquierdo,9,-131.124572753906,-324.750854492188
96,rodilla_izquierda,0,-162.271057128906,-275.72314453125
96,rodilla_izquierda,1,-162.001159667969,-275.74853515625
96,rodilla_izquierda,2,-161.001098632813,-276.123413085938
96,rodilla_izquierda,3,-161.001159667969,-276.498229980469
96,rodilla_izquierda,4,-162.4326171875,-274.447387695313
96,rodilla_izquierda,5,-162.875427246094,-273.499450683594
96,rodilla_izquierda,6,-163.625183105469,-271.625183105469
96,rodilla_izquierda,7,-163.750854492188,-269.998779296875
96,rodilla_izquierda,8,-164.25146484375,-270.871948242188
96,rodilla_izquierda,9,-166.129150390625,-269.742797851563
96,cadera_izquierda,0,-207.918151855469,-228.585876464844
96,cadera_izquierda,1,-206.500549316406,-230.998840332031
96,cadera_izquierda,2,-204.750854492188,-234.123413085938
96,cadera_izquierda,3,-203.875427246094,-235.499450683594
96,cadera_izquierda,4,-205.374877929688,-233.500610351563
96,cadera_izquierda,5,-208.998840332031,-231.500610351563
96,cadera_izquierda,6,-209.749694824219,-230.250244140625
96,cadera_izquierda,7,-211.874267578125,-226.626342773438
96,cadera_izquierda,8,-213.749694824219,-224.500549316406
96,cadera_izquierda,9,-216.12451171875,-222.500549316406
95,cadera_derecha,0,-166.048522949219,-219.46826171875
95,cadera_derecha,1,-161.504028320313,-223.622863769531
95,cadera_derecha,2,-159.006896972656,-224.746215820313
95,cadera_derecha,3,-158.258361816406,-223.619384765625
95,cadera_derecha,4,-158.134948730469,-222.742736816406
