archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
13,9,140.62,134.841,47.93,45.606,5.779,2.324
14,0,132.535,137.587,46.048,49.307,-5.052,-3.259
14,1,129.408,138.209,42.916,48.78,-8.801,-5.864
14,2,132.205,134.582,38.843,48.074,-2.377,-9.231
14,3,135.571,134.311,38.843,48.392,1.26,-9.549
14,4,140.877,134.383,41.621,46.284,6.494,-4.663
14,5,142.653,147.104,43.114,47.757,-4.451,-4.643
14,6,145.101,144.864,43.114,48.161,0.237,-5.047
14,7,149.533,144.521,43.114,47.975,5.012,-4.861
15,0,138.571,144.89,52.264,55.394,-6.319,-3.13
15,1,133.717,139.165,49.844,55.845,-5.448,-6.001
15,2,133.278,133.279,46.351,55.866,-0.001,-9.515
15,3,135.754,128.058,46.351,55.954,7.696,-9.603
15,4,138.8,131.851,44.733,52.322,6.949,-7.589
15,5,136.918,133.476,61.308,51.77,3.442,9.538
15,6,135.811,131.977,53.597,52.069,3.834,1.528
15,7,134.857,135.187,60.782,52.101,-0.33,8.681
16,0,141.616,150.034,65.315,56.166,-8.418,9.149
16,1,134.437,141.721,63.709,56.881,-7.284,6.828
16,2,132.471,138.405,57.849,55.69,-5.934,2.159
16,3,133.95,136.064,55.661,54.178,-2.114,1.483
16,4,137.397,134.723,55.661,53.928,2.674,1.733
16,5,140.073,134.68,61.296,50.88,5.393,10.416
16,6,142.473,138.251,51.881,53.639,4.222,-1.758
16,7,142.953,139.243,51.881,53.747,3.71,-1.866
16,8,144.973,141.605,51.881,54.221,3.368,-2.34
16,9,147.954,143.428,51.881,66.847,4.526,-14.966
17,0,144.945,149.276,58.695,60.942,-4.331,-2.247
17,1,138.366,143.4,58.759,60.954,-5.034,-2.195
17,2,136.202,139.253,56.353,59.707,-3.051,-3.354
17,3,136.251,138.604,56.353,57.455,-2.353,-1.102
17,4,141.71,137.584,53.827,56.327,4.126,-2.5
17,5,146.386,138.948,60.205,56.848,7.438,3.357
17,6,147.063,140.238,60.205,56.921,6.825,3.284
17,7,146.459,141.552,60.205,57.455,4.907,2.75
17,8,148.313,141.977,60.205,58.302,6.336,1.903
18,0,138.806,148.249,71.828,57.858,-9.443,13.97
18,1,134.542,142.932,63.396,57.731,-8.39,5.665
18,2,132.103,137.138,70.489,56.086,-5.035,14.403
18,3,129.609,133.216,70.489,53.983,-3.607,16.506
18,4,133.337,134.997,70.489,53.86,-1.66,16.629
18,5,137.328,135.586,70.489,48.425,1.742,22.064
18,6,141.389,139.513,70.489,50.004,1.876,20.485
18,7,142.601,139.627,70.489,50.163,2.974,20.326
18,8,146.78,141.089,70.489,53.934,5.691,16.555
19,0,123.788,132.442,64.493,57.046,-8.654,7.447
19,1,118.895,128.822,61.784,55.436,-9.927,6.348
19,2,119.399,127.746,55.578,54.683,-8.347,0.895
19,3,121.996,126.569,53.737,53.763,-4.573,-0.026
19,4,125.188,128.099,55.368,52.695,-2.911,2.673
19,5,126.736,129.075,53.737,48.305,-2.339,5.432
19,6,125.271,132.512,53.737,47.154,-7.241,6.583
19,7,126.096,130.882,53.737,46.534,-4.786,7.203
19,8,129.057,130.849,53.737,47.927,-1.792,5.81
19,9,128.979,130.554,53.737,48.171,-1.575,5.566
19,10,126.922,131.276,53.737,49.511,-4.354,4.226
20,0,134.538,144.384,52.481,55.221,-9.846,-2.74
20,1,129.479,140.827,50.92,55.109,-11.348,-4.189
20,2,129.898,138.619,45.369,54.626,-8.721,-9.257
20,3,131.063,138.619,47.167,54.053,-7.556,-6.886
20,4,133.855,135.799,51.211,54.057,-1.944,-2.846
20,5,133.45,137.821,51.211,53.238,-4.371,-2.027
20,6,131.885,138.107,51.211,51.432,-6.222,-0.221
20,7,134.353,139.729,51.211,51.82,-5.376,-0.609
20,8,138.795,137.847,51.211,54.114,0.948,-2.903
21,0,127.787,138.984,54.825,60.944,-11.197,-6.119
21,1,122.634,134.556,51.28,60.756,-11.922,-9.476
21,2,121.855,130.659,49.874,60.466,-8.804,-10.592
21,3,123.566,127.454,51.264,59.393,-3.888,-8.129
21,4,128.675,129.961,58.256,58.292,-1.286,-0.036
21,5,130.136,133.812,61.627,54.33,-3.676,7.297
21,6,129.099,137.114,54.446,54.434,-8.015,0.012
21,7,131.316,137.997,54.031,53.072,-6.681,0.959
21,8,130.206,134.366,43.278,52.059,-4.16,-8.781
22,0,147.649,151.171,68.198,64.733,-3.522,3.465
22,1,141.494,146.895,58.432,61.592,-5.401,-3.16
22,2,136.366,137.417,55.869,59.899,-1.051,-4.03
22,3,135.64,130.994,47.433,60.827,4.646,-13.394
22,4,133.114,127.109,47.433,60.346,6.005,-12.913
22,5,136.004,129.02,45.815,57.479,6.984,-11.664
22,6,133.502,127.79,45.815,55.151,5.712,-9.336
22,7,131.068,131.663,45.815,54.051,-0.595,-8.236
22,8,130.423,129.205,45.815,53.466,1.218,-7.651
22,9,132.379,126.853,44.299,52.448,5.526,-8.149
22,10,169.255,125.533,44.299,52.582,43.722,-8.283
23,0,134.642,144.103,55.71,55.099,-9.461,0.611
23,1,129.807,138.624,51.936,54.764,-8.817,-2.828
23,2,129.092,134.076,48.122,53.387,-4.984,-5.265
23,3,130.448,130.288,46.486,52.807,0.16,-6.321
23,4,132.839,129.296,46.486,48.464,3.543,-1.978
23,5,138.17,125.98,44.942,48.824,12.19,-3.882
23,6,137.146,130.548,44.942,49.439,6.598,-4.497
23,7,135.227,131.893,44.942,50.6,3.334,-5.658
23,8,137.385,130.891,44.942,50.338,6.494,-5.396
23,9,136.359,132.372,40.426,51.828,3.987,-11.402
24,0,106.916,122.415,49.968,51.28,-15.499,-1.312
24,1,101.27,114.603,50.908,50.148,-13.333,0.76
24,2,96.967,107.167,52.044,48.407,-10.2,3.637
24,3,94.893,104.142,50.205,46.338,-9.249,3.867
24,4,94.07,99.122,50.205,45.885,-5.052,4.32
24,5,95.295,95.85,48.821,44.415,-0.555,4.406
24,6,95.417,101.136,44.936,39.79,-5.719,5.146
24,7,96.261,101.231,42.34,39.886,-4.97,2.454
24,8,95.941,101.936,43.762,38.243,-5.995,5.519
24,9,98.706,104.819,38.638,39.731,-6.113,-1.093
24,10,94.613,101.858,44.597,38.935,-7.245,5.662
24,11,92.195,99.168,41.952,38.862,-6.973,3.09
25,0,102.843,112.847,50.651,52.546,-10.004,-1.895
25,1,96.347,107.173,48.538,51.932,-10.826,-3.394
25,2,93.731,103.733,50.624,50.086,-10.002,0.538
25,3,90.588,102.559,53.69,47.583,-11.971,6.107
25,4,90.075,103.361,53.531,51.179,-13.286,2.352
25,5,93.377,106.464,51.795,50.068,-13.087,1.727
25,6,93.719,108.859,53.673,45.584,-15.14,8.089
25,7,92.781,107.786,53.673,45.362,-15.005,8.311
25,8,96.305,108.163,51.937,44.844,-11.858,7.093
25,9,97.087,113.276,56.535,43.576,-16.189,12.959
25,10,95.898,106.858,58.046,44.04,-10.96,14.006
25,11,93.569,101.963,55.789,43.874,-8.394,11.915
26,0,106.618,123.318,61.366,49.681,-16.7,11.685
26,1,102.946,112.104,57.436,49.887,-9.158,7.549
26,2,98.752,106.015,59.525,49.907,-7.263,9.618
26,3,96.876,102.91,57.82,48.985,-6.034,8.835
26,4,96.435,99.85,54.471,50.645,-3.415,3.826
26,5,95.194,98.715,51.894,49.92,-3.521,1.974
