archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
18,2,76.239,82.022,68.795,59.905,-5.783,8.89
18,3,102.478,105.343,70.646,58.174,-2.865,12.472
18,4,136.637,136.128,78.405,62.832,0.509,15.573
18,5,162.377,157.46,103.04,72.15,4.917,30.89
18,6,171.811,172.587,97.061,69.767,-0.776,27.294
19,0,64.165,64.159,99.345,92.292,0.006,7.053
19,1,58.676,59.246,97.134,73.855,-0.57,23.279
19,2,63.723,67.431,70.465,60.139,-3.708,10.326
19,3,86.604,93.964,58.547,58.808,-7.36,-0.261
19,4,118.564,132.455,71.765,61.173,-13.891,10.592
19,5,156.506,162.105,86.795,73.706,-5.599,13.089
19,6,167.624,175.738,108.741,81.069,-8.114,27.672
20,0,66.07,69.996,90.412,80.302,-3.926,10.11
20,1,62.013,62.844,78.582,73.584,-0.831,4.998
20,2,62.554,65.241,67.696,62.823,-2.687,4.873
20,3,83.399,90.634,61.572,52.482,-7.235,9.09
20,4,116.727,127.727,72.243,64.361,-11.0,7.882
20,5,146.887,153.039,82.773,57.833,-6.152,24.94
20,6,162.865,169.302,87.733,93.478,-6.437,-5.745
21,0,59.889,63.947,85.035,77.837,-4.058,7.198
21,1,58.711,62.153,69.191,63.708,-3.442,5.483
21,2,67.319,78.91,48.859,50.16,-11.591,-1.301
21,3,93.749,103.598,62.887,49.485,-9.849,13.402
21,4,127.68,137.605,71.456,62.209,-9.925,9.247
21,5,155.336,161.544,106.266,70.575,-6.208,35.691
21,6,171.449,173.782,113.67,107.12,-2.333,6.55
22,0,68.14,73.971,101.825,79.854,-5.831,21.971
22,1,64.342,68.496,88.108,72.791,-4.154,15.317
22,2,71.601,72.609,76.242,61.777,-1.008,14.465
22,3,93.203,97.758,68.878,62.49,-4.555,6.388
22,4,124.391,132.035,76.622,70.89,-7.644,5.732
22,5,154.976,159.349,93.185,61.403,-4.373,31.782
22,6,165.527,173.378,97.038,103.926,-7.851,-6.888
23,0,66.386,71.171,93.449,86.489,-4.785,6.96
23,1,63.189,67.267,74.232,70.197,-4.078,4.035
23,2,73.544,76.659,67.803,58.24,-3.115,9.563
23,3,100.985,110.897,71.587,56.538,-9.912,15.049
23,4,139.849,141.198,82.048,63.334,-1.349,18.714
23,5,159.947,164.433,106.671,74.975,-4.486,31.696
23,6,173.224,174.91,100.592,79.756,-1.686,20.836
24,0,75.789,75.919,76.871,78.612,-0.13,-1.741
24,1,74.342,68.663,78.044,76.385,5.679,1.659
24,2,82.904,79.031,66.108,59.806,3.873,6.302
24,3,106.37,105.589,56.934,60.059,0.781,-3.125
24,4,139.809,136.221,65.464,74.233,3.588,-8.769
24,5,155.821,155.977,80.791,79.265,-0.156,1.526
24,6,173.057,170.249,74.595,68.605,2.808,5.99
24,7,176.063,178.634,68.702,42.162,-2.571,26.54
25,0,76.014,78.003,80.114,92.337,-1.989,-12.223
25,1,75.193,73.157,85.239,71.088,2.036,14.151
25,2,78.837,78.079,82.979,66.932,0.758,16.047
25,3,99.375,93.723,58.169,57.502,5.652,0.667
25,4,124.735,123.799,71.144,58.42,0.936,12.724
25,5,146.389,144.389,77.707,67.537,2.0,10.17
25,6,163.082,163.469,85.542,73.394,-0.387,12.148
25,7,176.919,171.176,73.142,121.505,5.743,-48.363
25,8,175.512,172.207,62.197,55.032,3.305,7.165
25,9,173.671,167.506,62.631,54.514,6.165,8.117
26,0,76.505,83.06,84.077,90.428,-6.555,-6.351
26,1,68.847,69.589,81.444,75.977,-0.742,5.467
26,2,68.823,65.267,78.517,74.105,3.556,4.412
26,3,78.824,74.353,76.452,60.729,4.471,15.723
26,4,108.475,103.477,56.796,57.83,4.998,-1.034
26,5,136.833,133.877,74.644,75.28,2.956,-0.636
26,6,150.159,152.588,79.753,81.772,-2.429,-2.019
26,7,172.214,171.036,64.977,66.551,1.178,-1.574
27,0,84.929,90.899,72.897,103.947,-5.97,-31.05
27,1,83.304,83.453,99.515,91.706,-0.149,7.809
27,2,83.774,80.722,85.358,80.849,3.052,4.509
27,3,95.87,90.267,74.068,66.73,5.603,7.338
27,4,122.072,114.933,61.077,54.809,7.139,6.268
27,5,148.546,138.521,79.672,73.443,10.025,6.229
27,6,167.559,157.347,74.468,76.446,10.212,-1.978
27,7,171.977,176.533,77.062,72.924,-4.556,4.138
27,8,167.17,176.631,60.117,46.419,-9.461,13.698
27,9,173.513,173.716,61.408,47.147,-0.203,14.261
27,10,177.403,177.05,62.233,55.562,0.353,6.671
28,0,81.914,82.533,87.709,89.721,-0.619,-2.012
28,1,80.48,77.935,83.042,79.618,2.545,3.424
28,2,90.667,87.105,79.128,68.631,3.562,10.497
28,3,117.74,116.939,62.566,56.244,0.801,6.322
28,4,145.181,144.32,74.45,80.623,0.861,-6.173
28,5,159.674,163.651,76.939,103.386,-3.977,-26.447
28,6,177.402,175.849,77.543,139.385,1.553,-61.842
28,7,173.97,168.043,69.634,49.537,5.927,20.097
28,8,170.378,164.31,55.929,57.146,6.068,-1.217
29,0,83.895,90.251,87.67,93.325,-6.356,-5.655
29,1,76.91,76.908,90.964,85.134,0.002,5.83
29,2,77.122,72.66,83.842,83.82,4.462,0.022
29,3,86.089,81.582,74.282,67.861,4.507,6.421
29,4,115.398,108.514,60.901,56.485,6.884,4.416
29,5,144.001,136.986,73.909,78.939,7.015,-5.03
29,6,156.053,153.925,79.228,67.241,2.128,11.987
29,7,172.936,168.712,74.037,76.408,4.224,-2.371
29,8,179.202,174.913,68.277,70.132,4.289,-1.855
31,0,84.569,91.097,80.172,94.707,-6.528,-14.535
31,1,80.585,82.165,88.248,89.557,-1.58,-1.309
31,2,88.152,85.118,90.556,74.495,3.034,16.061
31,3,102.478,98.865,61.641,59.441,3.613,2.2
31,4,130.783,128.179,56.087,64.592,2.604,-8.505
31,5,153.798,147.196,65.375,69.937,6.602,-4.562
31,6,172.696,164.456,71.895,84.68,8.24,-12.785
31,7,177.625,175.344,68.055,68.987,2.281,-0.932
31,8,172.76,179.182,64.863,51.581,-6.422,13.282
32,0,86.913,92.184,83.758,86.562,-5.271,-2.804
32,1,81.022,83.771,86.746,91.437,-2.749,-4.691
32,2,87.223,84.801,86.119,93.661,2.422,-7.542
32,3,93.7,91.05,87.369,71.046,2.65,16.323
32,4,118.77,117.184,70.536,59.419,1.586,11.117
32,5,147.136,143.689,77.998,71.656,3.447,6.342
32,6,159.062,158.296,72.045,79.785,0.766,-7.74
32,7,179.52,175.174,77.294,77.328,4.346,-0.034
32,8,172.708,176.391,66.375,48.008,-3.683,18.367
32,9,174.586,173.113,58.799,40.754,1.473,18.045
