archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
1,0,122.59739192325598,119.06158061078452,59.12540860791112,45.74158663477697,3.5358113124714663,13.383821973134147
1,1,124.48330122412241,125.41402874597702,57.45505515443334,43.486741361223295,-0.9307275218546067,13.968313793210044
1,2,125.7018767191366,131.2996095749137,59.35385141886834,40.32800679902403,-5.597732855777082,19.025844619844307
1,3,121.15247274901803,126.26770657391172,57.16204481907957,43.260484983068615,-5.115233824893693,13.901559836010954
1,4,108.34094211668233,116.428469117278,57.49689632224183,39.93404144776681,-8.08752700059567,17.562854874475022
1,5,100.511359115769,104.86743840172737,56.52121203469266,41.244384527618394,-4.356079285958373,15.276827507074266
1,6,96.29424074747891,100.59225689075024,53.65628955710672,44.443249592906454,-4.298016143271326,9.213039964200263
1,7,93.9071054934716,102.57280941380253,55.56675060096612,45.34132502344175,-8.665703920330927,10.22542557752437
1,8,95.7388038769073,102.61159521959193,52.26830070849171,45.67724865169094,-6.872791342684636,6.59105205680077
1,9,96.98659846849343,112.3290767289056,51.250723081100496,44.9900987981244,-15.342478260412179,6.260624282976096
1,10,98.55981239983153,111.04796225200023,50.62715679118831,47.68253704613276,-12.488149852168704,2.9446197450555545
1,11,103.30313687788008,114.27049117072004,49.28425851280473,47.312402498600306,-10.967354292839957,1.9718560142044268
1,12,106.14285021555095,112.04566110833511,49.28425851280473,52.83769697154052,-5.90281089278416,-3.5534384587357835
1,13,106.33870093898987,118.4590834374199,49.28425851280473,50.73095535898325,-12.120382498430033,-1.4466968461785186
1,14,109.5530799670239,122.51502968819405,49.28425851280473,50.68104911101463,-12.961949721170143,-1.396790598209897
1,15,114.012017110616,126.68021237243151,49.28425851280473,47.43999160846204,-12.668195261815512,1.844266904342696
1,16,116.54505007554091,128.11867533489806,49.28425851280473,44.58070192992899,-11.573625259357144,4.703556582875741
1,17,121.56341668687507,126.59674102644026,49.28425851280473,46.787629514390204,-5.033324339565183,2.496628998414529
2,0,120.17607659937272,124.74285837412478,61.11270526951523,48.93967843745785,-4.566781774752059,12.173026832057381
2,1,123.15546875896987,126.26579018831065,60.13118306109191,47.222860742379474,-3.1103214293407717,12.908322318712436
2,2,125.2776725916244,126.96390524526737,55.50505241189931,48.729605963106344,-1.6862326536429748,6.775446448792962
2,3,120.99638904194978,126.93490794931826,59.20716003533909,46.47164518654974,-5.938518907368476,12.73551484878935
2,4,113.8358796459969,119.96016018068993,49.516264261564714,43.56043972547262,-6.124280534693028,5.955824536092095
2,5,103.60478394775356,109.84829824634136,51.993432969757805,37.345658690470216,-6.243514298587797,14.647774279287589
2,6,94.93745957554141,98.0525108212394,41.62129144750916,40.56764685895565,-3.115051245697984,1.0536445885535102
2,7,90.0296031980061,94.32028870458018,48.71285679076312,43.39747730595407,-4.2906855065740785,5.31537948480905
2,8,87.96497023328457,101.91820577253304,50.09777324968378,50.212881040512336,-13.953235539248467,-0.11510779082855294
2,9,88.5922424727269,107.50893971839822,52.69753123448541,47.407851040185655,-18.91669724567133,5.2896801942997556
2,10,91.28076796917654,108.39694517496584,48.01912527596338,45.75817268352117,-17.1161772057893,2.260952592442216
2,11,91.78444578906472,109.22480504518558,48.54149200683433,42.146746347077794,-17.440359256120857,6.394745659756538
2,12,94.26505396265638,116.11063230608957,50.03542199973941,44.43329791674727,-21.84557834343319,5.602124082992141
2,13,93.9031253401938,112.0926117604857,52.06432027739802,43.9546270512033,-18.1894864202919,8.109693226194715
2,14,98.00286015480444,116.95436109052176,47.5907428673623,48.77402792209036,-18.95150093571732,-1.18328505472806
2,15,103.37875553218257,120.8285557751119,49.03028772577087,45.63351423936361,-17.449800242929328,3.3967734864072554
2,16,108.56321170271461,126.7496421133721,50.415252365857896,46.56786760351302,-18.186430410657493,3.8473847623448734
2,17,113.45634194749668,128.56582038584463,50.16589811716119,47.04918852619687,-15.10947843834795,3.1167095909643194
5,0,118.3985387438902,119.7137799293096,58.861150263978146,42.87008271359096,-1.3152411854193957,15.991067550387186
5,1,122.587511321338,121.32798051475248,60.11716765458717,50.9454630849733,1.2595308065855164,9.171704569613873
5,2,124.51714564327047,126.89904818210145,60.11716765458717,50.68558877034734,-2.3819025388309853,9.431578884239833
5,3,122.27101836293295,123.465730434966,51.66535795384,47.137061505281665,-1.194712072033056,4.528296448558336
5,4,112.5770440584586,116.96904572729906,53.04264558208289,45.68781987272637,-4.392001668840464,7.354825709356518
5,5,106.8409425717758,107.59911312840633,49.29338898206698,44.40937561397124,-0.7581705566305317,4.8840133680957365
