archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,diferencia1,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia2
1,0,127.26440773093688,136.0915184663001,-8.827110735,65.63364905473446,63.386862177573406,2.246786877
1,1,115.35266294281459,128.0537403702042,-12.70107743,78.11167487209303,66.64224868640686,11.46942619
1,2,101.3375045429032,116.0936120081966,-14.75610747,65.26480203809862,66.35623315,-1.091431113
1,3,92.91080641759167,106.94411022243442,-14.0333038,69.83957471526568,60.55476769313595,9.284807022
1,4,83.40835039234187,95.78567524186366,-12.37732485,70.88007786817424,72.65734840879988,-1.777270541
1,5,74.91188566819326,88.35898373803452,-13.44709807,76.69240950063381,71.52549406261525,5.166915438
1,6,69.76187759458509,77.93825601525728,-8.176378421,88.57530547,79.13824353944229,9.437061928
1,7,69.41969048656253,70.91404257965968,-1.494352093,110.73163449442117,90.57089486420851,20.16073963
1,8,67.15415243,67.52338311439723,-0.369230682,77.09593371021037,86.16606234604338,-9.070128636
1,9,76.50371761048748,74.60906690905844,1.894650701,74.94760265755964,61.377054195829835,13.57054846
1,10,104.84682016904964,99.84070643728963,5.006113732,62.72598832,57.60141311113504,5.124575214
1,11,145.6109848624625,146.45134679600778,-0.840361934,71.93576369193816,71.49057179181901,0.4451919
1,12,170.16979357184513,167.43928306001584,2.730510512,74.12936055978636,79.44768390455116,-5.318323345
1,13,179.69379030392892,179.11872539191722,0.575064912,70.50430601669203,67.46166702661607,3.04263899
1,14,177.21589464884718,178.42071661714994,-1.204821968,65.37243696283703,54.25419031328127,11.11824665
2,0,132.51942204445123,144.58155465311845,-12.06213261,72.48753198198702,60.75780809394213,11.72972389
2,1,125.47655264638338,138.06017187343457,-12.58361923,83.10736995333549,63.56741794332553,19.53995201
2,2,118.05450349272243,129.75313728168152,-11.69863379,80.07944815895569,75.94511256882096,4.13433559
2,3,108.0047675032492,119.75865609002757,-11.75388859,68.18607534797178,64.06999649455871,4.116078853
2,4,100.44628905426525,110.8931510778895,-10.44686202,74.94646229995662,70.79990812506351,4.146554175
2,5,90.67823562,108.21168693582298,-17.53345132,71.82566831,74.45274952723514,-2.627081217
2,6,82.65193125269816,94.13131525206313,-11.479384,74.77785061566541,82.48596452573585,-7.70811391
2,7,73.94868952090782,81.23082567107454,-7.28213615,70.55996517,95.96876870651319,-25.40880353
2,8,65.18933577472221,63.09694883670511,2.092386938,99.79955390596682,89.04447138,10.75508253
2,9,67.14010527,59.952217016457794,7.187888255,80.52719766749097,91.67211361749465,-11.14491595
2,10,74.74704647620968,66.14272194324072,8.604324533,58.06866630656758,79.52186670558095,-21.4532004
2,11,100.95173170185281,97.61475663196289,3.33697507,66.92664937,123.23590384150732,-56.30925447
2,12,145.18730778327745,141.98423934116013,3.203068442,70.07408150009893,64.95683251081769,5.117248989
2,13,170.78594789513488,169.41183488120592,1.374113014,71.91103070199988,75.34057072,-3.429540023
2,14,179.35570377330535,177.98154514920964,1.374158624,71.76277105349551,34.34105972,37.42171133
5,0,131.25308135977173,149.90232939333876,-18.64924803,70.82451388165163,57.62956744486045,13.19494644
5,1,123.60888166719589,142.2122598969237,-18.60337823,75.06901729,60.85640532016159,14.21261197
5,2,113.00667353987541,129.8172481656144,-16.81057463,81.64264711359314,69.27265135920665,12.36999575
5,3,104.95251000384255,118.36201049944721,-13.4095005,71.80030897185607,70.67191952780499,1.128389444
5,4,94.14898767503973,107.71126789413357,-13.56228022,74.58955606732708,71.85521798277748,2.734338085
5,5,87.81322468149885,94.86753592,-7.054311241,75.68699836386689,77.47675558105858,-1.789757217
5,6,78.56132720298322,84.83497942997398,-6.273652227,77.35784767211015,92.97902810721517,-15.62118044
5,7,72.56949880060787,76.92045765920773,-4.350958859,105.97535446882054,90.51232115676983,15.46303331
5,8,71.24000253915295,72.15420223798672,-0.914199699,93.08835353,92.58297350308412,0.505380023
5,9,72.64441221,75.98243727467438,-3.338025069,77.03796064120446,82.40927728737717,-5.371316646
5,10,94.86140278367958,90.14940478,4.711998001,60.685072858245874,62.00696250493197,-1.321889647
5,11,133.8112196613251,133.10306113567037,0.708158526,70.42257988033109,61.28661038515826,9.135969495
5,12,164.8362400338159,167.43573515581687,-2.599495122,76.60074991091533,69.87354401443285,6.727205896
5,13,178.69814997273795,175.6461645,3.051985429,68.79561832031156,68.60297466,0.192643662
5,14,179.39834643331625,179.39756249871857,0.000783935,77.95839792888353,63.46256701,14.49583092
6,0,80.43055655029659,93.40748402382275,-12.97692747,73.13902394021574,86.01622662223673,-12.87720268
6,1,72.32207376479161,83.03195219759233,-10.70987843,69.09706197,85.54783081995039,-16.45076885
6,2,68.30230937192071,73.35111033645134,-5.048800965,95.33955328183407,93.53396600892503,1.805587273
6,3,69.20939632778826,69.66960111492213,-0.460204787,88.38452709984155,88.53411709692263,-0.149589997
6,4,78.11792713373522,73.89408569,4.223841442,82.89107285724567,78.01064959983098,4.880423257
6,5,106.4862076335769,98.63984213338186,7.8463655,70.58971395304383,60.163769286960616,10.42594467
6,6,146.94224344400277,135.47976867462683,11.46247477,72.58800338143104,69.04554764467036,3.542455737
6,7,170.14737374476948,170.68552041634533,-0.538146672,85.81084868021007,70.09888917099804,15.71195951
6,8,179.93225183914612,179.05572134636571,0.876530493,79.58126327429477,67.22725425,12.35400902
6,9,177.03538229510508,176.78794076141506,0.247441534,66.77391245077953,55.41178654471675,11.36212591
8,0,69.04555714111434,77.85063844292705,-8.805081302,94.45783689396234,93.16834690452875,1.289489989
8,1,61.383000898014224,68.53054659103877,-7.147545693,83.74152667632464,89.30059735,-5.559070678
8,2,63.143605852874536,65.98211585,-2.838510001,81.71911055759246,82.67066722314368,-0.951556666
8,3,71.86983374211233,70.54419969169227,1.32563405,66.64858057932516,62.313535504672544,4.335045075
8,4,99.49894925389485,118.17637898217735,-18.67742973,66.27969336872718,55.05743242595266,11.22226094
8,5,141.0926277261655,150.13380042045824,-9.041172694,76.79918753183347,57.745091090699255,19.05409644
8,6,173.28318982172357,168.9933748292307,4.289814992,69.10394563161127,71.68856409312124,-2.584618462
8,7,179.74955946435395,179.0526237710916,0.696935693,81.41173285183169,64.99944337306769,16.41228948
8,8,179.6772038013833,177.64358841722972,2.033615384,72.19463218,54.62208517496608,17.57254701
9,0,70.98620267380784,82.92295112043354,-11.93674845,86.53913367387895,96.58774235,-10.04860868
9,1,65.18131385090774,69.26878293165494,-4.087469081,94.81798584423132,96.21438914415512,-1.3964033
9,2,65.12992381191577,67.53914439057927,-2.409220579,88.72839658135564,45.150468372746666,43.57792821
9,3,75.50014092245765,72.81759275436721,2.682548168,75.36528779063366,79.28392840594323,-3.918640615
9,4,106.63764851779678,103.31036025950633,3.327288258,65.40324065234059,59.00760071975409,6.395639933
9,5,147.33402308599025,147.95849642819863,-0.624473342,67.31891777104306,60.63843270491433,6.680485066
9,6,172.62901077164497,164.59855314451687,8.030457627,84.2365909,66.36888786671561,17.86770303
9,7,175.9831227950838,174.40623895190345,1.576883843,87.10017934479606,37.53659003499075,49.56358931
9,8,174.48539108141665,176.41225072407514,-1.926859643,79.22123001728029,54.265125887960735,24.95610413
13,0,64.88679186536962,70.8115538,-5.92476193,97.54290591,78.05865649041338,19.48424942
13,1,58.85911852726714,60.27072303998853,-1.411604513,88.67151261068024,76.19086792285273,12.48064469
13,2,60.32519667256886,59.96160312904861,0.363593544,76.33181621903788,61.84605806503173,14.48575815
13,3,73.05000270912456,80.73475525,-7.684752539,61.00726036151653,51.56599230382699,9.441268058
13,4,106.34764036352962,113.18038514712713,-6.832744784,60.576192054510564,52.561279259293286,8.014912795
13,5,144.1662362402108,148.3835209,-4.217284676,74.85408619352859,76.38966838868113,-1.535582195
14,0,70.41363608582533,73.43173431379579,-3.018098228,96.39625542,80.48632705666041,15.90992836
14,1,66.25182205967137,65.93490602,0.316916038,95.25670871296852,81.64732764304948,13.60938107
14,2,67.47097544109491,67.18349355218785,0.287481889,79.67463593416161,66.95329230788249,12.72134363
14,3,85.53709442867991,88.60568677,-3.068592345,63.22636036282701,60.21954873,3.006811628
14,4,121.73097381757623,126.11791100308585,-4.386937186,67.88089711699608,58.44790355165929,9.432993565
14,5,158.6482019834488,148.1102915989411,10.53791038,91.48673919256662,65.60081802935599,25.88592116
15,0,66.18506710218712,65.74889114358166,0.436175959,94.76608528852165,86.34950038,8.416584907
15,1,62.803137959636565,62.53462162929866,0.26851633,80.55453602651322,72.24430681683978,8.31022921
15,2,71.75544753146343,73.55391092805763,-1.798463397,62.01511665213596,56.33089976,5.684216887
15,3,103.00354748636767,109.1100349053882,-6.106487419,71.28478318286312,53.859390896473755,17.42539229
15,4,138.0116259365866,143.5213624702224,-5.509736534,82.37581178038934,60.15671173260177,22.21910005
15,5,167.70307135017788,166.99227842973553,0.71079292,87.68639084269238,73.19235468154318,14.49403616
16,0,72.27853052618225,78.62831445,-6.349783926,95.01830225497791,85.89703603904813,9.121266216
16,1,67.82384067477949,68.21579327685492,-0.391952602,89.67276954,76.87929612284752,12.79347342
16,2,69.93788909913607,71.93471625771356,-1.996827159,73.53083747781982,63.37478247596062,10.156055
16,3,88.20873701462907,90.00889338816572,-1.800156374,63.74840094094206,57.23820369749055,6.510197243
16,4,121.12709253889446,105.25666994089647,15.8704226,76.41838955917586,58.421517448242184,17.99687211
16,5,159.4743713113482,146.80008114506475,12.67429017,88.17422722659722,48.37848640640383,39.79574082
16,6,166.6955339767611,173.9434206,-7.247886645,96.61425734417966,84.30917739534539,12.30507995
16,7,178.9177901,174.74933660730062,4.16845348,91.90915243299638,153.1148833862907,-61.20573095
17,0,67.73580065,74.10046626930564,-6.364665615,87.73810317129632,73.94208930513203,13.79601387
17,1,61.83125864686023,63.53130532228267,-1.700046675,76.92323578658818,71.30863356918678,5.614602217
17,2,64.93232768310831,68.09958758988213,-3.167259907,70.05006058405142,63.34540166949961,6.704658915
17,3,85.47351568648804,91.84195771297385,-6.368442026,64.01832872749225,57.93799221860097,6.080336509
17,4,118.4220406179779,126.7200138,-8.297973219,70.33344677129342,64.57727233,5.756174442
17,5,151.37438068609163,152.73913919953844,-1.364758513,80.28254534062532,55.5018311,24.78071424
